school,name,period,sport_code,coachid,sport
Radford University,"Anderson, Mike",Aug 2003 - Jul 2017,MTE,8379,Men's Tennis
"University of Arkansas, Fayetteville","Anderson, Mike",May 2011 -,MBB,28830,Men's Basketball
University of Alabama at Birmingham,"Anderson, Mike",May 2002 - May 2006,MBB,7737,Men's Basketball
"University of Hawaii, Manoa","Anderson, Mike",Aug 2001 - Aug 2005,WSW,675,Women's Swimming and Diving
Hofstra University,"Anderson, Patrick",Aug 2008 - Feb 2012,MBA,1569,Baseball
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,MTO,43471,"Men's Track, Outdoor"
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,WTO,43473,"Women's Track, Outdoor"
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,WTI,43472,"Women's Track, Indoor"
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,WCC,43468,Women's Cross Country
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,MCC,43469,Men's Cross Country
Saint Peter's University,"Anderson, Phyllis",May 2016 - May 2018,MTI,43470,"Men's Track, Indoor"
Savannah State University,"Anderson, Stephanie",Aug 2002 - Aug 2004,WSB,7154,Softball
University of Iowa,"Anderson, Terry",Mar 1994 - Apr 2007,MGO,780,Men's Golf
Jackson State University,"Anderson, Tevester",May 2003 - May 2013,MBB,3214,Men's Basketball
The Citadel,"Anderson, Wendy",Aug 2003 - Jul 2005,WVB,4274,Women's Volleyball
University of the Incarnate Word,"Andersson, Jonas",Jun 2017 -,MTE,48519,Men's Tennis
Kent State University,"Andrassy, Jim",Nov 2003 -,MWR,5287,Men's Wrestling
Delaware State University,"Andrejak, Carol",Aug 2004 - Aug 2006,WBW,1739,Women's Bowling
Davidson College,"Andrew, Gary",Aug 2003 - Jul 2014,MCC,6315,Men's Cross Country
Davidson College,"Andrew, Gary",Aug 2003 - Jul 2014,MTO,5556,"Men's Track, Outdoor"
Davidson College,"Andrew, Gary",Aug 2003 - Jul 2014,MTI,297,"Men's Track, Indoor"
Savannah State University,"Andrews, Don",Aug 2008 - May 2016,WTE,1908,Women's Tennis
Florida A&M University,"Andrews, Donya",Aug 2003 - Jun 2004,WTI,7337,"Women's Track, Indoor"
Florida A&M University,"Andrews, Donya",Aug 2003 - Jun 2004,WTO,3567,"Women's Track, Outdoor"
Florida A&M University,"Andrews, Donya",Aug 2003 - Aug 2004,WCC,3595,Women's Cross Country
Indiana University-Purdue University Indianapolis,"Andrews, John",Aug 1998 - Aug 2017,WGO,22141,Women's Golf
Indiana University-Purdue University Indianapolis,"Andrews, John",Aug 1998 - Aug 2017,MGO,22140,Men's Golf
George Mason University,"Andrulis, Greg",Sep 2005 -,MSO,8412,Men's Soccer
Fordham University,"Andruzzi, Cathy",Jun 2006 - Apr 2011,WBB,4010,Women's Basketball
Marist College,"Angarola, Peter",Aug 2003 - Aug 2006,WTE,306,Women's Tennis
Florida A&M University,"Angel, Wayne",Sep 2010 - Jul 2014,MTO,25907,"Men's Track, Outdoor"
University of Illinois Urbana-Champaign,"Angel, Wayne",Aug 2003 - Jan 2010,MTI,1146,"Men's Track, Indoor"
University of Illinois Urbana-Champaign,"Angel, Wayne",Aug 2003 - Jan 2010,MTO,1508,"Men's Track, Outdoor"
Tennessee Technological University,"Angel, Wayne",Aug 2014 -,WTI,36257,"Women's Track, Indoor"
Tennessee Technological University,"Angel, Wayne",Aug 2014 -,MCC,36255,Men's Cross Country
Florida A&M University,"Angel, Wayne",Sep 2010 - Jul 2014,MCC,25906,Men's Cross Country
University of Illinois Urbana-Champaign,"Angel, Wayne",Aug 2003 - Jan 2010,MCC,8773,Men's Cross Country
Tennessee Technological University,"Angel, Wayne",Aug 2015 - Aug 2016,MTO,41699,"Men's Track, Outdoor"
Tennessee Technological University,"Angel, Wayne",Aug 2014 -,WTO,36258,"Women's Track, Outdoor"
Tennessee Technological University,"Angel, Wayne",Aug 2014 -,WCC,36256,Women's Cross Country
Florida A&M University,"Angel, Wayne",Sep 2010 - Jul 2014,MTI,25904,"Men's Track, Indoor"
University of Washington,"Anger, Matt",Aug 1992 -,MTE,22142,Men's Tennis
Santa Clara University,"Angus, Niall",Sep 2016 -,MTE,103201,Men's Tennis
Virginia Military Institute,"Anken, Brian",Sep 2010 - Jul 2015,MLA,25330,Men's Lacrosse
"University of Arkansas, Pine Bluff","Ansley, Tiffany",Sep 2012 - Jun 2016,WSB,32191,Softball
Charleston Southern University,"Ansley, Tosha",Aug 2006 - Sep 2016,WCC,8031,Women's Cross Country
Charleston Southern University,"Ansley, Tosha",Sep 2002 - Sep 2016,WTI,6514,"Women's Track, Indoor"
Charleston Southern University,"Ansley, Tosha",Sep 2002 - Sep 2016,WTO,3935,"Women's Track, Outdoor"
Hofstra University,"Anspach, Robert",Apr 2011 - Jul 2014,MWR,27882,Men's Wrestling
"Rutgers, The State University of New Jersey, New Brunswick","Anthes, Roberta",Aug 1983 - Aug 2006,WTO,21199,"Women's Track, Outdoor"
"Rutgers, The State University of New Jersey, New Brunswick","Anthes, Roberta",Aug 1983 - Aug 2006,WTI,21200,"Women's Track, Indoor"
"Rutgers, The State University of New Jersey, New Brunswick","Anthes, Roberta",Aug 1983 - Aug 2006,WCC,24279,Women's Cross Country
Valparaiso University,"Anthony, Stephen",Aug 2009 - Jun 2010,WBW,31039,Women's Bowling
University of Detroit Mercy,"Anthony-Ryan, Terri",Apr 2005 - Sep 2018,WGO,2064,Women's Golf
U.S. Naval Academy,"Anti, Michael",Aug 2017 -,XRI,47481,Mixed Rifle
University of South Florida,"Antigua, Orlando",May 2014 - Apr 2017,MBB,35395,Men's Basketball
Texas State University,"Antoine, Zenarae",May 2011 -,WBB,28896,Women's Basketball
U.S. Naval Academy,"Antonelli, Brian",Oct 2013 - May 2014,MWR,34836,Men's Wrestling
Belmont University,"Antun, Mauricio",Mar 2016 -,MTE,43783,Men's Tennis
Davidson College,"Anundsen, Sara",Aug 2014 - Aug 2017,WTE,37195,Women's Tennis
Lake Superior State University,"Anzalone, Frank",Aug 2003 - Aug 2005,MIH,6049,Men's Ice Hockey
Boston College,"Aoki, Mik",Jul 2006 - Aug 2010,MBA,5756,Baseball
University of Notre Dame,"Aoki, Mik",Aug 2010 -,MBA,24471,Baseball
University of Utah,"Appell, Brian",Aug 2003 - Aug 2005,WCC,9535,Women's Cross Country
University of Utah,"Appell, Brian",Aug 2004 - Aug 2005,WTI,20403,"Women's Track, Indoor"
University of Utah,"Appell, Brian",Aug 2004 - Aug 2005,MTO,9729,"Men's Track, Outdoor"
University of Utah,"Appell, Brian",Aug 2004 - Aug 2005,WTO,6781,"Women's Track, Outdoor"
University of Utah,"Appell, Brian",Aug 2003 - Aug 2005,MCC,2837,Men's Cross Country
University of Utah,"Appell, Brian",Aug 2004 - Aug 2005,MTI,2244,"Men's Track, Indoor"
Rensselaer Polytechnic Institute,"Appert, Seth",May 2006 - Apr 2017,MIH,6050,Men's Ice Hockey
Florida International University,"Applebaum, Melissa",Nov 2008 - Sep 2012,WTE,19468,Women's Tennis
Yale University,"Appleman, Erin",Aug 2003 -,WVB,729,Women's Volleyball
University of Houston,"Applewhite, Major",Jan 2017 -,MFB,45758,Football
Charleston Southern University,"Applin, Fred",Jun 2012 -,WBB,32087,Women's Basketball
University of Pittsburgh,"Aprile, Holly",Sep 2008 - Aug 2018,WSB,6966,Softball
University of Wisconsin-Milwaukee,"Aranda, Jeff",Feb 2016 - Aug 2017,WTE,42645,Women's Tennis
Indiana University-Purdue University Indianapolis,"Arce, Marisa",Jul 2015 -,WTE,39793,Women's Tennis
Delaware State University,"Archangelo, Darren",Aug 2003 - Aug 2005,MWR,6111,Men's Wrestling
Cornell University,"Archer, David",Feb 2013 -,MFB,34424,Football
University of Utah,"Archer, Lisa",Aug 2003 - Aug 2004,WTO,8598,"Women's Track, Outdoor"
University of Utah,"Archer, Lisa",Aug 2003 - Aug 2004,MTI,9694,"Men's Track, Indoor"
University of Utah,"Archer, Lisa",Aug 2003 - Aug 2004,MTO,9039,"Men's Track, Outdoor"
University of Utah,"Archer, Lisa",Aug 2003 - Aug 2004,WTI,20404,"Women's Track, Indoor"
DePaul University,"Ardizzone, Mark",Feb 1997 -,WTE,5714,Women's Tennis
DePaul University,"Ardizzone, Mark",Aug 2003 - Jul 2006,MTE,2086,Men's Tennis
Florida International University,"Arena, Kenny",Jun 2012 - Mar 2014,MSO,29445,Men's Soccer
University of Oregon,"Arendsen, Kathy",Aug 2003 - Jul 2009,WSB,144,Softball
University of Akron,"Arenz, Ron",Aug 2007 - Jan 2015,WVB,9658,Women's Volleyball
San Jose State University,"Argabright, Augie",Sep 1994 - Jan 2012,WCC,5329,Women's Cross Country
San Jose State University,"Argabright, Augie",Sep 1997 - Jan 2012,MCC,126,Men's Cross Country
Niagara University,"Argonin, Bill",Sep 1997 - Sep 2007,WBB,638,Women's Basketball
Wright State University,"Arlinghaus, Brian",Aug 2017 -,MGO,47204,Men's Golf
Campbell University,"Armas, Steve",Aug 2011 - Jul 2015,MSO,28972,Men's Soccer
Southeastern Louisiana University,"Armeda, Roni",Aug 1999 - Jan 2006,WVB,3396,Women's Volleyball
Centenary College (Louisiana),"Armstrong, Shelley",Aug 2003 - Oct 2013,WCC,4921,Women's Cross Country
Centenary College (Louisiana),"Armstrong, Shelley",Aug 2003 - Oct 2013,MCC,8937,Men's Cross Country
Providence College,"Army, Tim",Aug 2005 - May 2011,MIH,1574,Men's Ice Hockey
Miami University (Ohio),"Arndt-Molis, Rita",Sep 2008 - Aug 2009,WTO,5217,"Women's Track, Outdoor"
Miami University (Ohio),"Arndt-Molis, Rita",Sep 2008 - Aug 2009,WTI,7542,"Women's Track, Indoor"
Miami University (Ohio),"Arndt-Molis, Rita",Aug 2007 - Aug 2009,WCC,2236,Women's Cross Country
Michigan State University,"Arndt-Molis, Rita",Aug 2004 - Aug 2006,WCC,5903,Women's Cross Country
"University of Hawaii, Manoa","Arnold, Gibson",Apr 2010 - Nov 2014,MBB,25639,Men's Basketball
Delaware State University,"Arnold, Renee",Apr 2004 - Aug 2012,WVB,6901,Women's Volleyball
"University of Nevada, Reno","Arnstein, Tom",Aug 2004 - Aug 2007,WSK,5710,Women's Skiing
"University of Nevada, Reno","Arnstein, Tom",Aug 2004 - Aug 2007,MSK,2303,Men's Skiing
Stephen F. Austin State University,"Arrant, Bret",Aug 2003 - Sep 2010,WTE,7825,Women's Tennis
South Carolina State University,"Arrington, Richard",Aug 2003 - Aug 2008,MGO,4652,Men's Golf
University of South Alabama,"Arrow, Ronnie",May 2007 - Jan 2013,MBB,9381,Men's Basketball
Texas A&M University-Corpus Christi,"Arrow, Ronnie",Aug 2003 - May 2007,MBB,224,Men's Basketball
Long Beach State University,"Arroyo, Gavin",Aug 2008 -,WWP,1493,Women's Water Polo
Long Beach State University,"Arroyo, Gavin",Mar 2006 -,MWP,2655,Men's Water Polo
University of Tennessee at Chattanooga,"Arth, Tom",Mar 2017 -,MFB,45975,Football
Southeastern Louisiana University,"Artigues, Jay",Sep 2005 - Jul 2013,MBA,402,Baseball
Alcorn State University,"Arzaga, Priscilla",Jan 2014 - Oct 2014,WSB,38231,Softball
Northern Kentucky University,"Asalon, Todd",Sep 2001 -,MBA,20308,Baseball
Union College (New York),"Asano, Claudia",Aug 2007 - Jul 2016,WIH,6023,Women's Ice Hockey
Texas Southern University,"Asberry, Darrell",Feb 2012 - Feb 2016,MFB,29885,Football
Pepperdine University,"Asbury, Tom",Mar 2008 - Apr 2011,MBB,4310,Men's Basketball
Portland State University,"Ascher, Steve",Aug 2007 - Aug 2008,MTE,2234,Men's Tennis
University of Montana,"Ascher, Steve",Aug 2008 -,WTE,9444,Women's Tennis
Portland State University,"Ascher, Steve",Aug 2007 - Aug 2008,WTE,4285,Women's Tennis
"Rutgers, The State University of New Jersey, New Brunswick","Ash, Chris",Jan 2016 -,MFB,42207,Football
Montana State University-Bozeman,"Ash, Rob",Jul 2007 - Dec 2015,MFB,7219,Football
Drake University,"Ash, Rob",Aug 2003 - Jul 2007,MFB,8962,Football
Campbell University,"Ashcraft, Malinda",Aug 2003 - Aug 2006,WVB,25144,Women's Volleyball
University of Detroit Mercy,"Asher, Grant",Dec 2007 - Jul 2015,MTE,19714,Men's Tennis
Coastal Carolina University,"Ashley, Brian",Sep 2000 - Dec 2007,WGO,7622,Women's Golf
University of Denver,"Ashton, Chad",Aug 1998 - Feb 2007,MSO,6941,Men's Soccer
Davidson College,"Ashton, Greg",Aug 2003 - Sep 2016,WSO,4347,Women's Soccer
Duke University,"Ashworth, Jamie",Aug 1997 -,WTE,7992,Women's Tennis
Howard University,"Askew, Nicholas",Jul 2014 -,WSW,38221,Women's Swimming and Diving
Howard University,"Askew, Nicholas",Jul 2014 -,MSW,38161,Men's Swimming and Diving
University of Texas at El Paso,"Aspillaga, Eugenio",Aug 2015 - Jul 2017,WTE,41277,Women's Tennis
Stephen F. Austin State University,"Aspillaga, Roberto",Jul 2013 - Aug 2015,WTE,33471,Women's Tennis
Lafayette College,"Asselta, Meaghan",Sep 2010 - May 2013,WSB,25249,Softball
Manhattan College,"Asselta, Meaghan",Jul 2006 - Aug 2009,WSB,346,Softball
The University of North Carolina at Charlotte,"Aston, Karen",Jun 2007 - May 2011,WBB,7970,Women's Basketball
University of North Texas,"Aston, Karen",May 2011 - May 2012,WBB,27155,Women's Basketball
University of Texas at Austin,"Aston, Karen",May 2012 -,WBB,30843,Women's Basketball
Southern Illinois University Edwardsville,"Astrauskas, Dave",Aug 2005 - Jul 2009,MCC,9950,Men's Cross Country
Southern Illinois University Edwardsville,"Astrauskas, Dave",Aug 2004 - Jul 2009,MTO,7266,"Men's Track, Outdoor"
Southern Illinois University Edwardsville,"Astrauskas, Dave",Aug 2004 - Jul 2009,MTI,25201,"Men's Track, Indoor"
Southern Illinois University Edwardsville,"Astrauskas, Dave",Sep 2006 - Aug 2009,WTI,10124,"Women's Track, Indoor"
Southern Illinois University Edwardsville,"Astrauskas, Dave",Sep 2006 - Aug 2009,WTO,2566,"Women's Track, Outdoor"
Southern Illinois University Edwardsville,"Astrauskas, Dave",Aug 2005 - Jul 2009,WCC,4752,Women's Cross Country
"University at Buffalo, the State University of New York","Astudillo, John",Aug 2003 - Jun 2012,MSO,6252,Men's Soccer
"University of Maine, Orono","Atherley, Lynn",Aug 2004 - Aug 2009,WVB,287,Women's Volleyball
"University of Maine, Orono","Atherley, Scott",Aug 2003 -,WSO,1383,Women's Soccer
Hampton University,"Atiomo, John",Mar 2012 - Oct 2014,WTE,31374,Women's Tennis
Hampton University,"Atiomo, John",Mar 2012 - Oct 2014,MTE,31373,Men's Tennis
Prairie View A&M University,"Atkins, Robert",Aug 1984 - May 2005,WBB,2941,Women's Basketball
University of Richmond,"Atkins, Ron",Jul 1984 - Jul 2007,MBA,7654,Baseball
New Mexico State University,"Atkinson, Brooke",May 2017 -,WBB,46404,Women's Basketball
Towson University,"Atkinson, Bruce",Mar 2010 - Mar 2013,WVB,25093,Women's Volleyball
Winthrop University,"Atkinson, Bruce",Apr 2013 - Jan 2018,WVB,34517,Women's Volleyball
Longwood University,"Atkinson, Jon",Mar 2005 -,MSO,9899,Men's Soccer
Longwood University,"Atkinson, Nikki",Jan 2006 - Jun 2006,WBB,7298,Women's Basketball
Fairfield University,"Atkinson-Wignall, Janelle",Sep 2014 - Apr 2017,MSW,37576,Men's Swimming and Diving
Fairfield University,"Atkinson-Wignall, Janelle",Sep 2014 - Apr 2017,WSW,37577,Women's Swimming and Diving
Utah Valley University,"Atoa, Sam",Aug 2004 -,WVB,228,Women's Volleyball
"University of Arkansas, Fayetteville","Aubry, Erin",Feb 2009 - Dec 2011,WSO,20176,Women's Soccer
Morehead State University,"Aubry, Erin",Mar 2005 - Jan 2009,WSO,20175,Women's Soccer
Georgia State University,"Audia, Tamara",May 2010 - Jan 2014,WVB,25553,Women's Volleyball
Columbia University-Barnard College,"Aufrichtig, Michael",Aug 2011 -,MFE,27330,Men's Fencing
Columbia University-Barnard College,"Aufrichtig, Michael",Aug 2011 -,WFE,30324,Women's Fencing
University of Wisconsin-Milwaukee,"Augustine, Jerry",Aug 1995 - Jul 2006,MBA,4027,Baseball
"University of California, Berkeley","Augustus, Amanda",Aug 2007 -,WTE,7978,Women's Tennis
University of Michigan,"Augustus, Amanda",Aug 2006 - Aug 2007,WTE,3401,Women's Tennis
Southern Illinois University at Carbondale,"Auld, Judy",Aug 1975 - Aug 2004,WTE,3565,Women's Tennis
George Washington University,"Ault, Amanda",Apr 2011 - Aug 2017,WVB,38605,Women's Volleyball
"University of Nevada, Reno","Ault, Chris",Aug 1976 - Jan 2013,MFB,22143,Football
Charleston Southern University,"Aumend, Jeff",Aug 2005 - Aug 2008,WSB,2985,Softball
University of Connecticut,"Auriemma, Geno",Jun 1985 -,WBB,391,Women's Basketball
Marist College,"Ausanio, Joe",Sep 2008 -,WSB,9992,Softball
Alabama A&M University,"Austin, Betty",Aug 2003 - Aug 2007,WVB,8967,Women's Volleyball
"California State University, Fresno","Austin, Evan",Sep 2012 - Aug 2015,MTE,31516,Men's Tennis
Drake University,"Austin, Evan",Oct 2010 - Jul 2012,MTE,27358,Men's Tennis
Cornell University,"Austin, Richard Kent",Feb 2010 - Feb 2013,MFB,25327,Football
"University of North Carolina, Chapel Hill","Austin, Sally",Aug 1993 - Jul 2009,WGO,22144,Women's Golf
North Carolina State University,"Avent, Elliott",Sep 1996 -,MBA,1454,Baseball
The University of North Carolina at Greensboro,"Avent, Neil",Sep 2004 - Jul 2005,WSB,876,Softball
Wake Forest University,"Averill, Jennifer D",Jul 1992 -,WFH,32245,Field Hockey
Valparaiso University,"Avery, Carin",Aug 2003 -,WVB,2959,Women's Volleyball
Oakland University,"Avery, Mark",Aug 2003 - Aug 2005,MBA,9592,Baseball
Valparaiso University,"Avery, Mike",Feb 2007 -,MSO,4445,Men's Soccer
The Ohio State University,"Avery, Miles",Jun 1997 - Jul 2011,MGY,1975,Men's Gymnastics
Wofford College,"Ayers, Mike",Feb 1988 - Feb 2018,MFB,22145,Football
Princeton University,"Ayres, Chris",Aug 2006 -,MWR,7380,Men's Wrestling
"Indiana University, Bloomington","Azcui, Romiro",Feb 2017 -,WTE,48809,Women's Tennis
California Polytechnic State University,"Azevedo, John",Oct 2003 - Aug 2011,MWR,4058,Men's Wrestling
Drexel University,"Azevedo, Matt",May 2011 -,MWR,26822,Men's Wrestling
Long Beach State University,"Azevedo, Ricardo",Aug 2004 - Jan 2006,MWP,5709,Men's Water Polo
Long Beach State University,"Azevedo, Ricardo",Aug 2004 - Aug 2005,WWP,5993,Women's Water Polo
University of San Francisco,"Azzi, Jennifer",Jun 2010 - Oct 2016,WBB,25550,Women's Basketball
University of Montana,"Babcock, Courtney",Aug 2009 - Jul 2013,WCC,4612,Women's Cross Country
University of Montana,"Babcock, Courtney",Aug 2009 - Jul 2013,MCC,5672,Men's Cross Country
Syracuse University,"Babers, Dino",Jan 2016 -,MFB,42199,Football
Bowling Green State University,"Babers, Dino",Jan 2014 - Jan 2016,MFB,35238,Football
Eastern Illinois University,"Babers, Dino",Feb 2012 - Jan 2014,MFB,31205,Football
"University of Maine, Orono","Babineau, Josette",Mar 2007 -,WFH,5746,Field Hockey
New Jersey Institute of Technology,"Baboulis, Phil",Aug 2004 - Aug 2008,MTE,2360,Men's Tennis
New Jersey Institute of Technology,"Baboulis, Phil",Aug 2003 - Aug 2008,WTE,2362,Women's Tennis
University of Southern California,"Babraj, Kelly",Aug 2002 - Aug 2007,WCR,4277,Women's Rowing
University of Southern California,"Babraj, Zenon",Sep 2007 - Jun 2017,WCR,7135,Women's Rowing
"California State University, Sacramento","Baca, Clarisse",Nov 2016 - Aug 2017,WTE,45338,Women's Tennis
Binghamton University,"Back, Patrice",Sep 2003 - Aug 2006,WSW,4718,Women's Swimming and Diving
Binghamton University,"Back, Patrice",Sep 2003 - Aug 2006,MSW,9215,Men's Swimming and Diving
Yale University,"Backus, Amy J.",Jul 1999 - Jul 2005,WBB,35587,Women's Basketball
North Carolina Central University,"Backus, Ryan",Aug 2014 - Jul 2015,WBW,38416,Women's Bowling
Arkansas State University,"Badeaux, Lon",Aug 2007 - Aug 2011,WTO,4321,"Women's Track, Outdoor"
University of Louisiana at Lafayette,"Badeaux, Lon",Aug 2011 -,MTO,27442,"Men's Track, Outdoor"
Arkansas State University,"Badeaux, Lon",Aug 2007 - Aug 2011,MCC,5238,Men's Cross Country
